Origin_airport,Destination_airport,Origin_city,Destination_city,Distance,Origin_population,Destination_population
MHK,AMW,"Manhattan, KS","Ames, IA",254,122049,86219
EUG,RDM,"Eugene, OR","Bend, OR",103,284093,76034
MFR,RDM,"Medford, OR","Bend, OR",156,147300,76034
SEA,RDM,"Seattle, WA","Bend, OR",228,5154164,76034
PDX,RDM,"Portland, OR","Bend, OR",116,1534762,76034
LMT,RDM,"Klamath Falls, OR","Bend, OR",147,57948,76034
SFO,RDM,"San Francisco, CA","Bend, OR",462,7436126,76034
LAX,RDM,"Los Angeles, CA","Bend, OR",726,22585772,76034
EAT,RDM,"Wenatchee, WA","Bend, OR",222,80800,80333
YKM,RDM,"Yakima, WA","Bend, OR",162,193723,80333
EUG,RDM,"Eugene, OR","Bend, OR",103,287600,80333
EKO,RDM,"Elko, NV","Bend, OR",362,37382,80333
LMT,RDM,"Klamath Falls, OR","Bend, OR",147,58281,80333
SFO,RDM,"San Francisco, CA","Bend, OR",462,7498756,80333
SEA,RDM,"Seattle, WA","Bend, OR",228,5242050,80333
MFR,RDM,"Medford, OR","Bend, OR",156,150496,80333
PDX,RDM,"Portland, OR","Bend, OR",116,1578432,80333
PDX,RDM,"Portland, OR","Bend, OR",116,1614266,83955
EAT,RDM,"Wenatchee, WA","Bend, OR",222,82818,83955
MFR,RDM,"Medford, OR","Bend, OR",156,154131,83955
SEA,RDM,"Seattle, WA","Bend, OR",228,5347562,83955
SLE,RDM,"Salem, OR","Bend, OR",102,293063,83955
EUG,RDM,"Eugene, OR","Bend, OR",103,290878,83955
LMT,RDM,"Klamath Falls, OR","Bend, OR",147,58686,83955
SFO,RDM,"San Francisco, CA","Bend, OR",462,7578602,83955
SFO,RDM,"San Francisco, CA","Bend, OR",462,7635582,87688
LMT,RDM,"Klamath Falls, OR","Bend, OR",147,59602,87688
YKM,RDM,"Yakima, WA","Bend, OR",162,203827,87688
PDX,RDM,"Portland, OR","Bend, OR",116,1653097,87688
EUG,RDM,"Eugene, OR","Bend, OR",103,294929,87688
EKO,RDM,"Elko, NV","Bend, OR",362,40259,87688
SEA,RDM,"Seattle, WA","Bend, OR",228,5432136,87688
GEG,RDM,"Spokane, WA","Bend, OR",291,390740,87688
RDD,RDM,"Redding, CA","Bend, OR",265,158520,87688
SEA,RDM,"Seattle, WA","Bend, OR",228,5485752,90902
LWS,RDM,"Lewiston, ID","Bend, OR",249,55942,90902
AST,RDM,"Astoria, OR","Bend, OR",187,35091,90902
LMT,RDM,"Klamath Falls, OR","Bend, OR",147,60549,90902
CLM,RDM,"Port Angeles, WA","Bend, OR",290,61623,90902
EUG,RDM,"Eugene, OR","Bend, OR",103,298720,90902
PDT,RDM,"Pendleton, OR","Bend, OR",151,71725,90902
PDX,RDM,"Portland, OR","Bend, OR",116,1686298,90902
PDX,RDM,"Portland, OR","Bend, OR",116,1721558,94869
SJC,RDM,"San Jose, CA","Bend, OR",477,1609027,94869
MFR,RDM,"Medford, OR","Bend, OR",156,165303,94869
GEG,RDM,"Spokane, WA","Bend, OR",291,401315,94869
SEA,RDM,"Seattle, WA","Bend, OR",228,5551884,94869
EAT,RDM,"Wenatchee, WA","Bend, OR",222,89775,94869
LMT,RDM,"Klamath Falls, OR","Bend, OR",147,61140,94869
ACV,RDM,"Eureka, CA","Bend, OR",272,122814,94869
EUG,RDM,"Eugene, OR","Bend, OR",103,302819,94869
EUG,RDM,"Eugene, OR","Bend, OR",103,306326,98602
EKO,RDM,"Elko, NV","Bend, OR",362,45034,98602
PDX,RDM,"Portland, OR","Bend, OR",116,1763420,98602
SEA,RDM,"Seattle, WA","Bend, OR",228,5621538,98602
PUW,RDM,"Pullman, WA","Bend, OR",261,39004,98602
LWS,RDM,"Lewiston, ID","Bend, OR",249,57289,98602
MFR,RDM,"Medford, OR","Bend, OR",156,168209,98602
MFR,RDM,"Medford, OR","Bend, OR",156,170578,101660
SEA,RDM,"Seattle, WA","Bend, OR",228,5727624,101660
RDD,RDM,"Redding, CA","Bend, OR",265,162603,101660
EKO,RDM,"Elko, NV","Bend, OR",362,47413,101660
EUG,RDM,"Eugene, OR","Bend, OR",103,311092,101660
PDX,RDM,"Portland, OR","Bend, OR",116,1800340,101660
LMT,RDM,"Klamath Falls, OR","Bend, OR",147,62779,101660
EAT,RDM,"Wenatchee, WA","Bend, OR",222,92417,101660
SEA,RDM,"Seattle, WA","Bend, OR",228,5831556,105731
RDD,RDM,"Redding, CA","Bend, OR",265,164156,105731
EKO,RDM,"Elko, NV","Bend, OR",362,48011,105731
PDX,RDM,"Portland, OR","Bend, OR",116,1829786,105731
PDX,RDM,"Portland, OR","Bend, OR",116,1855671,110810
SMF,RDM,"Sacramento, CA","Bend, OR",384,1741002,110810
EKO,RDM,"Elko, NV","Bend, OR",362,47319,110810
EUG,RDM,"Eugene, OR","Bend, OR",103,314901,110810
SEA,RDM,"Seattle, WA","Bend, OR",228,5900502,110810
RDD,RDM,"Redding, CA","Bend, OR",265,164530,110810
GEG,RDM,"Spokane, WA","Bend, OR",291,409736,110810
SEA,RDM,"Seattle, WA","Bend, OR",228,6104758,116618
PDX,RDM,"Portland, OR","Bend, OR",116,1936108,116618
PDX,RDM,"Portland, OR","Bend, OR",116,1975589,120667
SEA,RDM,"Seattle, WA","Bend, OR",228,6188760,120667
MFR,RDM,"Medford, OR","Bend, OR",156,183797,120667
FLL,RDM,"Fort Lauderdale, FL","Bend, OR",2601,5120256,120667
SFO,RDM,"San Francisco, CA","Bend, OR",462,8331356,125468
PDX,RDM,"Portland, OR","Bend, OR",116,2010666,125468
MFR,RDM,"Medford, OR","Bend, OR",156,186567,125468
SEA,RDM,"Seattle, WA","Bend, OR",228,6243790,125468
SEA,RDM,"Seattle, WA","Bend, OR",227,6243790,125468
SEA,RDM,"Seattle, WA","Bend, OR",228,6277876,129322
PHX,RDM,"Phoenix, AZ","Bend, OR",893,3600163,129322
BFI,RDM,"Seattle, WA","Bend, OR",233,6277876,129322
GGG,RDM,"Longview, TX","Bend, OR",1643,197353,129322
GTF,RDM,"Great Falls, MT","Bend, OR",522,81065,129322
SFO,RDM,"San Francisco, CA","Bend, OR",462,8306286,129322
LMT,RDM,"Klamath Falls, OR","Bend, OR",147,64549,129322
PDX,RDM,"Portland, OR","Bend, OR",116,2034000,129322
FAT,RDM,"Fresno, CA","Bend, OR",521,844194,129322
EKO,RDM,"Elko, NV","Bend, OR",362,44934,129322
TUS,RDM,"Tucson, AZ","Bend, OR",1003,903320,129322
SMF,RDM,"Sacramento, CA","Bend, OR",384,1967052,129322
MWH,RDM,"Moses Lake, WA","Bend, OR",222,78982,134080
LWS,RDM,"Lewiston, ID","Bend, OR",249,58589,134080
MFR,RDM,"Medford, OR","Bend, OR",156,191697,134080
SEA,RDM,"Seattle, WA","Bend, OR",228,6327406,134080
BIL,RDM,"Billings, MT","Bend, OR",626,144229,134080
DFW,RDM,"Dallas, TX","Bend, OR",1514,11379964,134080
EKO,RDM,"Elko, NV","Bend, OR",362,44964,134080
SFO,RDM,"San Francisco, CA","Bend, OR",462,8287044,134080
LMT,RDM,"Klamath Falls, OR","Bend, OR",147,64753,134080
PDX,RDM,"Portland, OR","Bend, OR",116,2052776,134080
PDX,RDM,"Portland, OR","Bend, OR",116,2084053,140962
RBG,RDM,"Roseburg, OR","Bend, OR",131,102817,140962
SMF,RDM,"Sacramento, CA","Bend, OR",384,2028664,140962
SFO,RDM,"San Francisco, CA","Bend, OR",462,8299214,140962
LMT,RDM,"Klamath Falls, OR","Bend, OR",147,65402,140962
SLC,RDM,"Salt Lake City, UT","Bend, OR",526,1044845,140962
SEA,RDM,"Seattle, WA","Bend, OR",228,6404776,140962
GEG,RDM,"Spokane, WA","Bend, OR",291,440145,140962
EKO,RDM,"Elko, NV","Bend, OR",362,45801,140962
EUG,RDM,"Eugene, OR","Bend, OR",103,335242,140962
EUG,RDM,"Eugene, OR","Bend, OR",103,339280,148670
CPR,RDM,"Casper, WY","Bend, OR",742,70259,148670
RDM,RDM,"Bend, OR","Bend, OR",0,148670,148670
RNO,RDM,"Reno, NV","Bend, OR",336,402383,148670
EKO,RDM,"Elko, NV","Bend, OR",362,47170,148670
PDX,RDM,"Portland, OR","Bend, OR",116,2123960,148670
RBG,RDM,"Roseburg, OR","Bend, OR",131,103685,148670
FBK,RDM,"Fairbanks, AK","Bend, OR",1750,94803,148670
ANC,RDM,"Anchorage, AK","Bend, OR",1658,359341,148670
BIF,RDM,"El Paso, TX","Bend, OR",1172,720756,148670
MWH,RDM,"Moses Lake, WA","Bend, OR",222,81390,148670
SEA,RDM,"Seattle, WA","Bend, OR",228,6519890,148670
RDD,RDM,"Redding, CA","Bend, OR",265,178449,148670
MFR,RDM,"Medford, OR","Bend, OR",156,196165,148670
LAX,RDM,"Los Angeles, CA","Bend, OR",726,25427320,148670
SLC,RDM,"Salt Lake City, UT","Bend, OR",526,1072748,148670
SFO,RDM,"San Francisco, CA","Bend, OR",462,8325566,148670
SFO,RDM,"San Francisco, CA","Bend, OR",462,8404372,153405
SLC,RDM,"Salt Lake City, UT","Bend, OR",526,1092594,153405
RNO,RDM,"Reno, NV","Bend, OR",336,410616,153405
CIC,RDM,"Chico, CA","Bend, OR",310,217741,153405
TUS,RDM,"Tucson, AZ","Bend, OR",1003,996593,153405
EUG,RDM,"Eugene, OR","Bend, OR",103,344812,153405
ANC,RDM,"Anchorage, AK","Bend, OR",1658,360908,153405
PDX,RDM,"Portland, OR","Bend, OR",116,2163577,153405
SAF,RDM,"Santa Fe, NM","Bend, OR",995,143369,153405
LAX,RDM,"Los Angeles, CA","Bend, OR",726,25385206,153405
ABQ,RDM,"Albuquerque, NM","Bend, OR",1000,834685,153405
FSM,RDM,"Fort Smith, AR","Bend, OR",1544,289474,153405
LAS,RDM,"Las Vegas, NV","Bend, OR",647,1838635,153405
MFR,RDM,"Medford, OR","Bend, OR",156,198346,153405
SEA,RDM,"Seattle, WA","Bend, OR",228,6614720,153405
GEG,RDM,"Spokane, WA","Bend, OR",291,456187,153405
DQF,RDM,"Phoenix, AZ","Bend, OR",911,4175595,153405
PHX,RDM,"Phoenix, AZ","Bend, OR",893,4175595,153405
RDD,RDM,"Redding, CA","Bend, OR",265,179334,153405
PUW,RDM,"Pullman, WA","Bend, OR",261,41084,153405
ICT,RDM,"Wichita, KS","Bend, OR",1316,595342,153405
SEA,RDM,"Seattle, WA","Bend, OR",228,6713274,157730
GEG,RDM,"Spokane, WA","Bend, OR",291,462408,157730
AZA,RDM,"Phoenix, AZ","Bend, OR",911,4287323,157730
BIL,RDM,"Billings, MT","Bend, OR",626,152320,157730
MFR,RDM,"Medford, OR","Bend, OR",156,200298,157730
EUG,RDM,"Eugene, OR","Bend, OR",103,348425,157730
DLH,RDM,"Duluth, MN","Bend, OR",1408,275188,157730
RNO,RDM,"Reno, NV","Bend, OR",336,416657,157730
SLE,RDM,"Salem, OR","Bend, OR",102,390561,157730
SLC,RDM,"Salt Lake City, UT","Bend, OR",526,1111600,157730
LMT,RDM,"Klamath Falls, OR","Bend, OR",147,66543,157730
SFO,RDM,"San Francisco, CA","Bend, OR",462,8520472,157730
CEC,RDM,"Crescent City, CA","Bend, OR",231,28873,157730
OKC,RDM,"Oklahoma City, OK","Bend, OR",1387,1207519,157730
SAN,RDM,"San Diego, CA","Bend, OR",823,3019274,157730
LAS,RDM,"Las Vegas, NV","Bend, OR",647,1879093,157730
FSM,RDM,"Fort Smith, AR","Bend, OR",1544,290977,157730
PDX,RDM,"Portland, OR","Bend, OR",116,2203745,157730
STS,RDM,"Santa Rosa, CA","Bend, OR",406,466424,157730
ABQ,RDM,"Albuquerque, NM","Bend, OR",1000,846582,157730
LAX,RDM,"Los Angeles, CA","Bend, OR",726,25536790,157730
LAX,RDM,"Los Angeles, CA","Bend, OR",726,25749594,158629
ABQ,RDM,"Albuquerque, NM","Bend, OR",1000,857903,158629
STS,RDM,"Santa Rosa, CA","Bend, OR",406,472102,158629
RNO,RDM,"Reno, NV","Bend, OR",336,419261,158629
FAT,RDM,"Fresno, CA","Bend, OR",521,915267,158629
EUG,RDM,"Eugene, OR","Bend, OR",103,351109,158629
DRO,RDM,"Durango, CO","Bend, OR",856,51464,158629
MFR,RDM,"Medford, OR","Bend, OR",156,201286,158629
OAK,RDM,"Oakland, CA","Bend, OR",454,4317853,158629
AZA,RDM,"Phoenix, AZ","Bend, OR",911,4364094,158629
SEA,RDM,"Seattle, WA","Bend, OR",228,6815696,158629
BFI,RDM,"Seattle, WA","Bend, OR",233,6815696,158629
PDX,RDM,"Portland, OR","Bend, OR",116,2241841,158629
LMT,RDM,"Klamath Falls, OR","Bend, OR",147,66247,158629
SFO,RDM,"San Francisco, CA","Bend, OR",462,8635706,158629
SLC,RDM,"Salt Lake City, UT","Bend, OR",526,1130293,158629
LAS,RDM,"Las Vegas, NV","Bend, OR",647,1902834,158629
SJC,EKO,"San Jose, CA","Elko, NV",407,1534472,35688
YKM,EKO,"Yakima, WA","Elko, NV",462,193723,37382
IAH,EKO,"Houston, TX","Elko, NV",1370,3888584,37382
ELP,EKO,"El Paso, TX","Elko, NV",813,611299,37382
DBQ,EKO,"Dubuque, IA","Elko, NV",1299,86843,37382
CPR,EKO,"Casper, WY","Elko, NV",502,61878,37382
HLN,EKO,"Helena, MT","Elko, NV",442,56381,37382
DFW,EKO,"Dallas, TX","Elko, NV",1170,8182938,37382
DLH,EKO,"Duluth, MN","Elko, NV",1245,270392,37382
EUG,EKO,"Eugene, OR","Elko, NV",442,287600,37382
FAT,EKO,"Fresno, CA","Elko, NV",350,688511,37382
RDM,EKO,"Bend, OR","Elko, NV",362,80333,37382
TUL,EKO,"Tulsa, OK","Elko, NV",1122,772997,37382
OMA,EKO,"Omaha, NE","Elko, NV",1037,694707,37382
ACT,EKO,"Waco, TX","Elko, NV",1212,191064,37382
BTM,EKO,"Butte, MT","Elko, NV",391,34027,37382
AUS,EKO,"Austin, TX","Elko, NV",1247,874516,37382
SLE,EKO,"Salem, OR","Elko, NV",462,286134,37382
PIA,EKO,"Peoria, IL","Elko, NV",1365,361193,37382
CWA,EKO,"Wausau, WI","Elko, NV",1350,116766,37382
TUS,EKO,"Tucson, AZ","Elko, NV",658,676729,37382
PUB,EKO,"Pueblo, CO","Elko, NV",627,123054,37382
FOE,EKO,"Topeka, KS","Elko, NV",1075,212603,37382
COS,EKO,"Colorado Springs, CO","Elko, NV",605,416250,37382
OKC,EKO,"Oklahoma City, OK","Elko, NV",1057,980703,37382
CLM,EKO,"Port Angeles, WA","Elko, NV",631,57957,37382
GJT,EKO,"Grand Junction, CO","Elko, NV",404,96356,37382
SLC,EKO,"Salt Lake City, UT","Elko, NV",200,790507,37382
LBF,EKO,"North Platte, NE","Elko, NV",789,34190,37382
SPS,EKO,"Wichita Falls, TX","Elko, NV",1059,138487,37382
GEG,EKO,"Spokane, WA","Elko, NV",477,372019,37382
SEA,EKO,"Seattle, WA","Elko, NV",560,5242050,37382
CYS,EKO,"Cheyenne, WY","Elko, NV",574,73706,37382
ABR,EKO,"Aberdeen, SD","Elko, NV",932,39802,37382
BRD,EKO,"Brainerd, MN","Elko, NV",1148,67570,37382
AMA,EKO,"Amarillo, TX","Elko, NV",858,197654,37382
BIL,EKO,"Billings, MT","Elko, NV",501,123183,37382
ICT,EKO,"Wichita, KS","Elko, NV",1007,520211,37382
ROW,EKO,"Roswell, NM","Elko, NV",809,58843,37382
BIS,EKO,"Bismarck, ND","Elko, NV",855,84535,37382
MSO,EKO,"Missoula, MT","Elko, NV",429,80417,37382
GCC,EKO,"Gillette, WY","Elko, NV",577,29825,37382
LBB,EKO,"Lubbock, TX","Elko, NV",913,231127,37382
LBL,EKO,"Liberal, KS","Elko, NV",839,18656,37382
MAF,EKO,"Midland, TX","Elko, NV",972,108737,37382
MSN,EKO,"Madison, WI","Elko, NV",1366,443904,37382
LNK,EKO,"Lincoln, NE","Elko, NV",995,232143,37382
MFR,EKO,"Medford, OR","Elko, NV",382,150496,37382
SJC,EKO,"San Jose, CA","Elko, NV",407,1545325,37382
PDX,EKO,"Portland, OR","Elko, NV",475,1578432,37382
ALO,EKO,"Waterloo, IA","Elko, NV",1212,159435,37382
RFD,EKO,"Rockford, IL","Elko, NV",1382,288599,37382
GRB,EKO,"Green Bay, WI","Elko, NV",1425,247860,37382
LSE,EKO,"La Crosse, WI","Elko, NV",1269,117153,37382
FCA,EKO,"Kalispell, MT","Elko, NV",523,60818,37382
MKE,EKO,"Milwaukee, WI","Elko, NV",1439,1444492,37382
BLI,EKO,"Bellingham, WA","Elko, NV",642,133330,37382
FOD,EKO,"Fort Dodge, IA","Elko, NV",1121,40234,37382
DSM,EKO,"Des Moines, IA","Elko, NV",1152,423477,37382
EAU,EKO,"Eau Claire, WI","Elko, NV",1260,138926,37382
MCW,EKO,"Mason City, IA","Elko, NV",1164,54952,37382
RAP,EKO,"Rapid City, SD","Elko, NV",687,105976,37382
LIT,EKO,"Little Rock, AR","Elko, NV",1351,540243,37382
SHV,EKO,"Shreveport, LA","Elko, NV",1345,356747,37382
MCI,EKO,"Kansas City, MO","Elko, NV",1119,1657663,37382
ABQ,EKO,"Albuquerque, NM","Elko, NV",640,612738,37382
GFK,EKO,"Grand Forks, ND","Elko, NV",1041,102607,37382
GTF,EKO,"Great Falls, MT","Elko, NV",510,78314,37382
BFL,EKO,"Bakersfield, CA","Elko, NV",412,569829,37382
SAT,EKO,"San Antonio, TX","Elko, NV",1248,1433285,37382
MSP,EKO,"Minneapolis, MN","Elko, NV",1176,2581103,37382
SGF,EKO,"Springfield, MO","Elko, NV",1227,305304,37382
BFF,EKO,"Scottsbluff, NE","Elko, NV",637,37019,37382
FSD,EKO,"Sioux Falls, SD","Elko, NV",994,156413,37382
GRI,EKO,"Grand Island, NE","Elko, NV",914,63541,37382
CID,EKO,"Cedar Rapids, IA","Elko, NV",1250,212870,37382
FYV,EKO,"Fayetteville, AR","Elko, NV",1216,257079,38698
CID,EKO,"Cedar Rapids, IA","Elko, NV",1250,215757,38698
GRI,EKO,"Grand Island, NE","Elko, NV",914,64032,38698
SHV,EKO,"Shreveport, LA","Elko, NV",1345,357812,38698
ABQ,EKO,"Albuquerque, NM","Elko, NV",640,626380,38698
SUX,EKO,"Sioux City, IA","Elko, NV",1009,133668,38698
LIT,EKO,"Little Rock, AR","Elko, NV",1351,547187,38698
GCK,EKO,"Garden City, KS","Elko, NV",830,34179,38698
BTR,EKO,"Baton Rouge, LA","Elko, NV",1550,641721,38698
GFK,EKO,"Grand Forks, ND","Elko, NV",1041,103427,38698
BFL,EKO,"Bakersfield, CA","Elko, NV",412,586745,38698
GTF,EKO,"Great Falls, MT","Elko, NV",510,79132,38698
MCI,EKO,"Kansas City, MO","Elko, NV",1119,1673956,38698
IDA,EKO,"Idaho Falls, ID","Elko, NV",267,94634,38698
SAT,EKO,"San Antonio, TX","Elko, NV",1248,1462319,38698
BFF,EKO,"Scottsbluff, NE","Elko, NV",637,37352,38698
SPI,EKO,"Springfield, IL","Elko, NV",1375,196177,38698
SGF,EKO,"Springfield, MO","Elko, NV",1227,311357,38698
MSP,EKO,"Minneapolis, MN","Elko, NV",1176,2616238,38698
FSD,EKO,"Sioux Falls, SD","Elko, NV",994,159809,38698
LBF,EKO,"North Platte, NE","Elko, NV",789,34447,38698
CLM,EKO,"Port Angeles, WA","Elko, NV",631,59559,38698
SLC,EKO,"Salt Lake City, UT","Elko, NV",200,811613,38698
OKC,EKO,"Oklahoma City, OK","Elko, NV",1057,992480,38698
SBA,EKO,"Santa Barbara, CA","Elko, NV",494,376523,38698
CRP,EKO,"Corpus Christi, TX","Elko, NV",1375,379471,38698
SPS,EKO,"Wichita Falls, TX","Elko, NV",1059,137675,38698
GJT,EKO,"Grand Junction, CO","Elko, NV",404,98010,38698
COS,EKO,"Colorado Springs, CO","Elko, NV",605,433799,38698
ELP,EKO,"El Paso, TX","Elko, NV",813,624906,38698
DBQ,EKO,"Dubuque, IA","Elko, NV",1299,87419,38698
DEC,EKO,"Decatur, IL","Elko, NV",1418,117779,38698
ORD,EKO,"Chicago, IL","Elko, NV",1445,16720340,38698
YKM,EKO,"Yakima, WA","Elko, NV",462,198676,38698
BZN,EKO,"Bozeman, MT","Elko, NV",414,54103,38698
IAH,EKO,"Houston, TX","Elko, NV",1370,3983375,38698
TUS,EKO,"Tucson, AZ","Elko, NV",658,692538,38698
PIA,EKO,"Peoria, IL","Elko, NV",1365,361687,38698
FOE,EKO,"Topeka, KS","Elko, NV",1075,214237,38698
PUB,EKO,"Pueblo, CO","Elko, NV",627,123685,38698
PIR,EKO,"Pierre, SD","Elko, NV",826,17675,38698
CWA,EKO,"Wausau, WI","Elko, NV",1350,118040,38698
FAT,EKO,"Fresno, CA","Elko, NV",350,703846,38698
DFW,EKO,"Dallas, TX","Elko, NV",1170,8314270,38698
DLH,EKO,"Duluth, MN","Elko, NV",1245,271374,38698
EUG,EKO,"Eugene, OR","Elko, NV",442,290878,38698
CPR,EKO,"Casper, WY","Elko, NV",502,62309,38698
HLN,EKO,"Helena, MT","Elko, NV",442,57820,38698
MLU,EKO,"Monroe, LA","Elko, NV",1433,165918,38698
YUM,EKO,"Yuma, AZ","Elko, NV",567,114723,38698
ACT,EKO,"Waco, TX","Elko, NV",1212,191924,38698
MOT,EKO,"Minot, ND","Elko, NV",879,66706,38698
TUL,EKO,"Tulsa, OK","Elko, NV",1122,782591,38698
AUS,EKO,"Austin, TX","Elko, NV",1247,901055,38698
GYY,EKO,"Gary, IN","Elko, NV",1473,8360170,38698
SLE,EKO,"Salem, OR","Elko, NV",462,293063,38698
OMA,EKO,"Omaha, NE","Elko, NV",1037,701218,38698
BTM,EKO,"Butte, MT","Elko, NV",391,34211,38698
FAR,EKO,"Fargo, ND","Elko, NV",1033,157539,38698
RAP,EKO,"Rapid City, SD","Elko, NV",687,107700,38698
RST,EKO,"Rochester, MN","Elko, NV",1207,146485,38698
STL,EKO,"St. Louis, MO","Elko, NV",1356,2603363,38698
SAN,EKO,"San Diego, CA","Elko, NV",563,2601147,38698
BNA,EKO,"Nashville, TN","Elko, NV",1603,1086033,38698
MKE,EKO,"Milwaukee, WI","Elko, NV",1439,1453354,38698
BLI,EKO,"Bellingham, WA","Elko, NV",642,138061,38698
DSM,EKO,"Des Moines, IA","Elko, NV",1152,430444,38698
EVV,EKO,"Evansville, IN","Elko, NV",1517,328473,38698
EAU,EKO,"Eau Claire, WI","Elko, NV",1260,139856,38698
FSM,EKO,"Fort Smith, AR","Elko, NV",1224,239169,38698
FOD,EKO,"Fort Dodge, IA","Elko, NV",1121,40092,38698
MWH,EKO,"Moses Lake, WA","Elko, NV",474,59014,38698
MEM,EKO,"Memphis, TN","Elko, NV",1459,1090672,38698
MSN,EKO,"Madison, WI","Elko, NV",1366,453533,38698
PHX,EKO,"Phoenix, AZ","Elko, NV",550,2366971,38698
MFR,EKO,"Medford, OR","Elko, NV",382,154131,38698
LBL,EKO,"Liberal, KS","Elko, NV",839,18750,38698
JAN,EKO,"Jackson, MS","Elko, NV",1539,455271,38698
MOD,EKO,"Modesto, CA","Elko, NV",354,394159,38698
LNK,EKO,"Lincoln, NE","Elko, NV",995,235497,38698
OAK,EKO,"Oakland, CA","Elko, NV",405,3789301,38698
GEG,EKO,"Spokane, WA","Elko, NV",477,381635,38698
ICT,EKO,"Wichita, KS","Elko, NV",1007,530927,38698
SEA,EKO,"Seattle, WA","Elko, NV",560,5347562,38698
AMA,EKO,"Amarillo, TX","Elko, NV",858,199754,38698
BRD,EKO,"Brainerd, MN","Elko, NV",1148,69432,38698
CYS,EKO,"Cheyenne, WY","Elko, NV",574,75326,38698
BIS,EKO,"Bismarck, ND","Elko, NV",855,85855,38698
BIL,EKO,"Billings, MT","Elko, NV",501,126284,38698
ABR,EKO,"Aberdeen, SD","Elko, NV",932,39921,38698
ROW,EKO,"Roswell, NM","Elko, NV",809,58712,38698
RDD,EKO,"Redding, CA","Elko, NV",342,157319,38698
LWS,EKO,"Lewiston, ID","Elko, NV",388,53598,38698
MSO,EKO,"Missoula, MT","Elko, NV",429,82310,38698
GRB,EKO,"Green Bay, WI","Elko, NV",1425,250989,38698
LSE,EKO,"La Crosse, WI","Elko, NV",1269,118218,38698
FCA,EKO,"Kalispell, MT","Elko, NV",523,62798,38698
CMI,EKO,"Champaign, IL","Elko, NV",1446,205185,38698
PDX,EKO,"Portland, OR","Elko, NV",475,1614266,38698
ALO,EKO,"Waterloo, IA","Elko, NV",1212,159374,38698
SJC,EKO,"San Jose, CA","Elko, NV",407,1562254,38698
RFD,EKO,"Rockford, IL","Elko, NV",1382,291954,38698
SCK,EKO,"Stockton, CA","Elko, NV",355,503293,38698
PDX,EKO,"Portland, OR","Elko, NV",475,1653097,40259
SCK,EKO,"Stockton, CA","Elko, NV",355,509810,40259
ALO,EKO,"Waterloo, IA","Elko, NV",1212,159507,40259
SJC,EKO,"San Jose, CA","Elko, NV",407,1578908,40259
RFD,EKO,"Rockford, IL","Elko, NV",1382,295205,40259
FCA,EKO,"Kalispell, MT","Elko, NV",523,65178,40259
GRB,EKO,"Green Bay, WI","Elko, NV",1425,254857,40259
LSE,EKO,"La Crosse, WI","Elko, NV",1269,119156,40259
IAH,EKO,"Houston, TX","Elko, NV",1370,4058868,40259
ELP,EKO,"El Paso, TX","Elko, NV",813,642744,40259
DBQ,EKO,"Dubuque, IA","Elko, NV",1299,87891,40259
YKM,EKO,"Yakima, WA","Elko, NV",462,203827,40259
ORD,EKO,"Chicago, IL","Elko, NV",1445,16876600,40259
BZN,EKO,"Bozeman, MT","Elko, NV",414,55950,40259
SGF,EKO,"Springfield, MO","Elko, NV",1227,318718,40259
SPI,EKO,"Springfield, IL","Elko, NV",1375,199396,40259
FSD,EKO,"Sioux Falls, SD","Elko, NV",994,162720,40259
SAT,EKO,"San Antonio, TX","Elko, NV",1248,1494302,40259
MSP,EKO,"Minneapolis, MN","Elko, NV",1176,2654810,40259
BFF,EKO,"Scottsbluff, NE","Elko, NV",637,37433,40259
CID,EKO,"Cedar Rapids, IA","Elko, NV",1250,218394,40259
IND,EKO,"Indianapolis, IN","Elko, NV",1554,1355755,40259
GRI,EKO,"Grand Island, NE","Elko, NV",914,64693,40259
BMI,EKO,"Bloomington, IL","Elko, NV",1406,135395,40259
IDA,EKO,"Idaho Falls, ID","Elko, NV",267,96243,40259
ABQ,EKO,"Albuquerque, NM","Elko, NV",640,640288,40259
TWF,EKO,"Twin Falls, ID","Elko, NV",133,73110,40259
GTF,EKO,"Great Falls, MT","Elko, NV",510,80172,40259
MCI,EKO,"Kansas City, MO","Elko, NV",1119,1694575,40259
LIT,EKO,"Little Rock, AR","Elko, NV",1351,554606,40259
SHV,EKO,"Shreveport, LA","Elko, NV",1345,359338,40259
GFK,EKO,"Grand Forks, ND","Elko, NV",1041,103380,40259
GCK,EKO,"Garden City, KS","Elko, NV",830,34534,40259
SUX,EKO,"Sioux City, IA","Elko, NV",1009,135219,40259
COS,EKO,"Colorado Springs, CO","Elko, NV",605,449121,40259
SLC,EKO,"Salt Lake City, UT","Elko, NV",200,833385,40259
GJT,EKO,"Grand Junction, CO","Elko, NV",404,100646,40259
OKC,EKO,"Oklahoma City, OK","Elko, NV",1057,1006334,40259
SPS,EKO,"Wichita Falls, TX","Elko, NV",1059,139671,40259
LBF,EKO,"North Platte, NE","Elko, NV",789,34419,40259
CLM,EKO,"Port Angeles, WA","Elko, NV",631,60744,40259
SBA,EKO,"Santa Barbara, CA","Elko, NV",494,378009,40259
CRP,EKO,"Corpus Christi, TX","Elko, NV",1375,387672,40259
LWS,EKO,"Lewiston, ID","Elko, NV",388,54707,40259
MSO,EKO,"Missoula, MT","Elko, NV",429,84405,40259
